post_id,slug,url,status,code,severity,category,title,location,evidence,fix
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,M01,high,عنوان و متا,توضیحات متا ندارد,rank_math_description / _yoast_wpseo_metadesc,,توضیح متا یکتا برای صفحه بنویسید (Google: « unique descriptions for each page »)
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,K01,med,کلیدواژه,کلیدواژه کانونی (Focus Keyword) ثبت نشده,rank_math_focus_keyword / _yoast_wpseo_focuskw,,در Rank Math برای مقاله کلیدواژه کانونی تعریف کنید
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,C01,high,محتوا,محتوای بسیار نازک,بدنه,398 کلمه,گوگل محتوای «کامل و جامع» می‌خواهد؛ صفحه محتوای کافی ندارد
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,C12,low,محتوا,بدون پوشش سوءبرداشت رایج,بدنه,,مطابق استاندارد Qpedia، سوءبرداشت‌های رایج اصلاح شود
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,I01,high,تصویر,تصویر شاخص ندارد,_thumbnail_id,,تصویر شاخص اختصاصی و مرتبط تعریف کنید
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,X04,low,فنی,رمزِ شِمای Rank Math ثبت نشده,rank_math_schema_*,,قالب شِمای Article خودکار چاپ می‌کند ولی ثبت شمای Rank Math کامل‌تر است
3527,simon-algorithm,https://qpedia.ir/simon-algorithm/,publish,X05,med,فنی,صفحه یتیم (بدون لینک ورودی داخلی),گراف لینک داخلی,هیچ لینک ورودی از مقالات منتشرشدهٔ دیگر,از مقالات مرتبط به این صفحه لینک بدهید
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,K02,med,کلیدواژه,کلیدواژه کانونی در عنوان نیست,post_title,kw=«رمزنگاری کوانتومی آیندهٔ امنیت اینترنت»,کلیدواژه را به‌طور طبیعی در عنوان بیاورید
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,K03,low,کلیدواژه,کلیدواژه کانونی در متای توضیح نیست,meta description,kw=«رمزنگاری کوانتومی آیندهٔ امنیت اینترنت»,کلیدواژه را در توضیح متا بگنجانید
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,K04,med,کلیدواژه,کلیدواژه در پاراگراف آغازین نیست,پاراگراف آغازین,kw=«رمزنگاری کوانتومی آیندهٔ امنیت اینترنت»,در صد کلمهٔ نخست، موضوع (کلیدواژه) روشن شود
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,C07,med,محتوا,بخش منابع/ارجاع ندارد,تیترها,هیچ تیتری با «منابع» یافت نشد,برای ادعای علمی، بخش «منابع» با حداقل ۳ منبع معتبر لازم است
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,C08,med,محتوا,ارجاع خارجی کمتر از ۳,بدنه,فقط 0 لینک خارجی یکتا,حداقل ۳ لینک معتبر خارجی (DOI/دانشگاه/مرجع علمی) بدهید
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,C09,low,محتوا,بخش پرسش‌های متداول ندارد,تیترها,,افزودن FAQ ساخت‌یافته به پوشش نیت جستجو کمک می‌کند
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,C12,low,محتوا,بدون پوشش سوءبرداشت رایج,بدنه,,مطابق استاندارد Qpedia، سوءبرداشت‌های رایج اصلاح شود
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,I01,high,تصویر,تصویر شاخص ندارد,_thumbnail_id,,تصویر شاخص اختصاصی و مرتبط تعریف کنید
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,L01,med,پیوند,لینک داخلی کمتر از ۳,بدنه,0 لینک داخلی یکتا,حداقل ۳ لینک داخلی مرتبط با انکرتکست طبیعی بدهید
512,quantum-cryptography-internet-security,https://qpedia.ir/quantum-cryptography-internet-security/,publish,X04,low,فنی,رمزِ شِمای Rank Math ثبت نشده,rank_math_schema_*,,قالب شِمای Article خودکار چاپ می‌کند ولی ثبت شمای Rank Math کامل‌تر است
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,T03,low,عنوان و متا,عنوان خیلی کوتاه/مبهم,post_title,نوسانات خلأ,عنوان باید موضوع را کامل برساند
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,K04,med,کلیدواژه,کلیدواژه در پاراگراف آغازین نیست,پاراگراف آغازین,kw=«نوسانات خلأ»,در صد کلمهٔ نخست، موضوع (کلیدواژه) روشن شود
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,C07,med,محتوا,بخش منابع/ارجاع ندارد,تیترها,هیچ تیتری با «منابع» یافت نشد,برای ادعای علمی، بخش «منابع» با حداقل ۳ منبع معتبر لازم است
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,C08,med,محتوا,ارجاع خارجی کمتر از ۳,بدنه,فقط 0 لینک خارجی یکتا,حداقل ۳ لینک معتبر خارجی (DOI/دانشگاه/مرجع علمی) بدهید
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,C09,low,محتوا,بخش پرسش‌های متداول ندارد,تیترها,,افزودن FAQ ساخت‌یافته به پوشش نیت جستجو کمک می‌کند
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,C12,low,محتوا,بدون پوشش سوءبرداشت رایج,بدنه,,مطابق استاندارد Qpedia، سوءبرداشت‌های رایج اصلاح شود
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,I01,high,تصویر,تصویر شاخص ندارد,_thumbnail_id,,تصویر شاخص اختصاصی و مرتبط تعریف کنید
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,L01,med,پیوند,لینک داخلی کمتر از ۳,بدنه,0 لینک داخلی یکتا,حداقل ۳ لینک داخلی مرتبط با انکرتکست طبیعی بدهید
303,vacuum-fluctuations,https://qpedia.ir/vacuum-fluctuations/,publish,X04,low,فنی,رمزِ شِمای Rank Math ثبت نشده,rank_math_schema_*,,قالب شِمای Article خودکار چاپ می‌کند ولی ثبت شمای Rank Math کامل‌تر است
