source_url,target_url,http_code,note
/quantum-measurement-problem/,https://qpedia.ir/quantum-measurement/,301,مطمئن
/quantum-decoherence/,https://qpedia.ir/decoherence/,301,مطمئن
/quantum-entanglement/,https://qpedia.ir/quantum-entanglement-explained/,301,مطمئن
/quantum-fluctuations/,https://qpedia.ir/quantum-fluctuations-cosmos/,301,مطمئن
/loop-quantum-gravity/,https://qpedia.ir/quantum-gravity/,301,مطمئن
/dark-energy/,https://qpedia.ir/dark-energy-quantum/,301,مطمئن
/superconducting-qubit/,https://qpedia.ir/superconductivity/,301,مطمئن
/scientists/albert-einstein/,https://qpedia.ir/scientists/albert-einstein-2/,301,مطمئن
/scientist/albert-einstein/,https://qpedia.ir/scientists/albert-einstein-2/,301,مطمئن
/albert-einstein/,https://qpedia.ir/scientists/albert-einstein-2/,301,مطمئن
/scientists/max-planck/,https://qpedia.ir/scientists/max-plank/,301,مطمئن
/scientist/max-planck/,https://qpedia.ir/scientists/max-plank/,301,مطمئن
/max-planck/,https://qpedia.ir/scientists/max-plank/,301,مطمئن
/epr-paradox-2/,https://qpedia.ir/epr-paradox/,301,مطمئن
/no-cloning-theorem-2/,https://qpedia.ir/no-cloning-theorem/,301,مطمئن
/quantum-gate-2/,https://qpedia.ir/quantum-gate/,301,مطمئن
/solvay-conference-1927-2/,https://qpedia.ir/solvay-conference-1927/,301,مطمئن
/aspect-experiment-1982-2/,https://qpedia.ir/aspect-experiment-1982/,301,مطمئن
/absolute-zero-2/,https://qpedia.ir/absolute-zero/,301,مطمئن
/alpha-decay-2/,https://qpedia.ir/alpha-decay/,301,مطمئن
/stimulated-emission-2/,https://qpedia.ir/stimulated-emission/,301,مطمئن
/neutrino-2/,https://qpedia.ir/neutrino/,301,مطمئن
/standard-model-2/,https://qpedia.ir/standard-model/,301,مطمئن
/virtual-particles-2/,https://qpedia.ir/virtual-particles/,301,مطمئن
/stern-gerlach-experiment-2/,https://qpedia.ir/stern-gerlach-experiment/,301,مطمئن
/flash-memory-2/,https://qpedia.ir/flash-memory/,301,مطمئن
/scanning-tunneling-microscope-2/,https://qpedia.ir/scanning-tunneling-microscope/,301,مطمئن
/fiber-optics-2/,https://qpedia.ir/fiber-optics/,301,مطمئن
/quantum-supremacy-2/,https://qpedia.ir/quantum-supremacy/,301,مطمئن
/shor-algorithm-2/,https://qpedia.ir/shor-algorithm/,301,مطمئن
/pilot-wave-2/,https://qpedia.ir/pilot-wave/,301,مطمئن
/genetic-mutation-2/,https://qpedia.ir/genetic-mutation/,301,مطمئن
/google-error-correction__trashed/,https://qpedia.ir/quantum-error-correction/,301,مشابهت متوسط — بازبینی
/higgs-boson-2/,https://qpedia.ir/higgs-boson/,301,مطمئن
/coherence-2/,https://qpedia.ir/coherence/,301,مطمئن
/grover-algorithm-2/,https://qpedia.ir/grover-algorithm/,301,مطمئن
/quantum-error-correction-2/,https://qpedia.ir/quantum-error-correction/,301,مطمئن
/bose-einstein-condensate-2/,https://qpedia.ir/bose-einstein-condensate/,301,مطمئن
/stellar-fusion-2/,https://qpedia.ir/stellar-fusion/,301,مطمئن
/quantum-simulation-2/,https://qpedia.ir/quantum-simulation/,301,مطمئن
/black-hole/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/dark-matter/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/fundamental-forces/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/led/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/matter-wave/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/max-planck-blackbody/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/noon-state/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-art/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-communication/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-ethics/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-game-theory/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-interference/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-investment/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-key-distribution/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-literacy/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-photosynthesis/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-policy/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-smart-contract/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/quantum-startup/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/semiconductor/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
/swap-test/,,410,حذف‌شده بی‌جایگزین — گوگل آن را زودتر کنار می‌گذارد
